invoice_number,vendor,amount,date,file_path,days_overdue,duplicate_count,department,payment_term,label
6253,Miller Ltd,22513.73,2023-01-09,data/invoices/INV-06253.pdf,4,1,IT,Immediate,0
4685,"Wood, Ramos and Sampson",22678.0,2023-12-14,data/invoices/INV-04685.pdf,2,1,Operations,Net 60,0
1732,Ramirez-Bean,5673.53,2023-04-22,data/invoices/INV-01732.pdf,3,1,IT,Net 90,0
4743,Baird-Sanchez,15875.47,2023-04-15,data/invoices/INV-04743.pdf,0,1,Operations,Net 30,0
4522,Dudley Group,16362.76,2023-09-17,data/invoices/INV-04522.pdf,9,1,Operations,Net 15,0
6341,Arnold Ltd,13412.66,2023-02-22,data/invoices/INV-06341.pdf,5,1,Legal,Immediate,0
577,Williams-Cook,4903.76,2023-03-17,data/invoices/INV-00577.pdf,1,1,Finance,Net 30,0
5203,Rasmussen LLC,20704.64,2023-08-01,data/invoices/INV-05203.pdf,9,1,HR,Net 30,0
6364,Crosby-Ramirez,23985.67,2023-03-30,data/invoices/INV-06364.pdf,1,1,Operations,Immediate,0
440,"Jackson, Miller and Robertson",12496.23,2023-07-01,data/invoices/INV-00440.pdf,12,1,Finance,Net 90,0
2751,"Rivera, Johnson and Wiley",21688.16,2023-03-29,data/invoices/INV-02751.pdf,4,1,Admin,Net 30,0
7488,Dixon Inc,140249.96,2023-07-24,data/invoices/INV-07488.pdf,2,2,Admin,Net 30,1
5273,Moore Group,9644.63,2023-01-02,data/invoices/INV-05273.pdf,1,1,Finance,Net 15,0
5654,Gonzales-Harrison,16270.19,2023-12-12,data/invoices/INV-05654.pdf,14,1,Operations,Net 30,0
4000,"Ramirez, Strickland and Washington",14952.5,2024-06-05,data/invoices/INV-04000.pdf,2,1,Legal,Net 15,0
6034,"Yates, Ramsey and Pittman",17475.67,2023-11-30,data/invoices/INV-06034.pdf,14,1,Legal,Immediate,0
583,Sanders-Espinoza,2191.25,2024-05-17,data/invoices/INV-00583.pdf,4,1,IT,Net 90,0
9931,Blackwell LLC,139155.51,2023-05-21,data/invoices/INV-09931.pdf,1,2,IT,Net 90,1
7052,Mendez and Sons,52646.37,2023-05-08,data/invoices/INV-07052.pdf,3,3,Legal,Net 90,1
8159,Walker-Flores,65458.48,2023-05-15,data/invoices/INV-08159.pdf,0,2,IT,Net 30,1
9897,Cook and Sons,76046.65,2023-06-10,data/invoices/INV-09897.pdf,3,2,Marketing,Immediate,1
2250,Williams Inc,7783.51,2023-12-08,data/invoices/INV-02250.pdf,2,1,Legal,Net 30,0
4641,"Wilson, Pena and Rich",1109.81,2024-06-04,data/invoices/INV-04641.pdf,9,1,HR,Net 60,0
9486,Hines-Berry,54641.83,2023-09-12,data/invoices/INV-09486.pdf,3,3,Admin,Net 60,1
4948,Hickman Ltd,12510.34,2024-02-25,data/invoices/INV-04948.pdf,1,1,Marketing,Net 15,0
9921,"Miller, Lucas and Williams",46067.32,2023-11-26,data/invoices/INV-09921.pdf,2,4,Admin,Net 30,1
1964,Nolan-Flynn,18895.21,2023-09-01,data/invoices/INV-01964.pdf,4,1,IT,Net 90,0
8244,Combs Ltd,138800.41,2023-08-10,data/invoices/INV-08244.pdf,3,2,Admin,Net 15,1
6591,Navarro-Munoz,23416.37,2023-03-28,data/invoices/INV-06591.pdf,2,1,IT,Immediate,0
8848,"Osborn, Gaines and Davis",77166.6,2023-03-07,data/invoices/INV-08848.pdf,3,3,Marketing,Immediate,1
322,Donovan-Harris,7857.96,2023-01-09,data/invoices/INV-00322.pdf,3,1,Operations,Net 60,0
2679,Wilkerson-Day,3236.55,2024-01-29,data/invoices/INV-02679.pdf,8,1,Operations,Net 60,0
4626,"Morris, Thompson and Williams",15513.47,2023-05-02,data/invoices/INV-04626.pdf,0,1,Operations,Net 60,0
4950,"James, Stewart and Higgins",7590.26,2023-07-28,data/invoices/INV-04950.pdf,6,1,Finance,Net 15,0
8329,Kelly-Norman,136013.45,2023-06-30,data/invoices/INV-08329.pdf,2,2,HR,Net 15,1
3338,White-Green,24488.21,2023-10-11,data/invoices/INV-03338.pdf,4,1,HR,Net 60,0
5590,Moore Group,19249.01,2024-02-13,data/invoices/INV-05590.pdf,15,1,IT,Net 90,0
252,Novak PLC,23744.04,2024-05-12,data/invoices/INV-00252.pdf,6,1,HR,Net 60,0
3974,"Alvarez, Joseph and West",18806.04,2023-10-02,data/invoices/INV-03974.pdf,5,1,IT,Immediate,0
6631,Howell and Sons,6075.5,2023-11-11,data/invoices/INV-06631.pdf,14,1,Operations,Net 30,0
5548,"Morales, Thomas and Schultz",22388.02,2023-09-02,data/invoices/INV-05548.pdf,8,1,Finance,Net 15,0
36,Erickson and Sons,20214.22,2023-04-22,data/invoices/INV-00036.pdf,7,1,HR,Net 60,0
8363,"Huang, Cole and Pacheco",49853.79,2023-06-29,data/invoices/INV-08363.pdf,2,5,Finance,Net 60,1
1514,Moore-Bass,5905.25,2023-02-08,data/invoices/INV-01514.pdf,7,1,Legal,Net 15,0
9318,Cisneros and Sons,51156.46,2023-04-26,data/invoices/INV-09318.pdf,1,6,Operations,Net 30,1
40,Hickman Ltd,10753.94,2024-05-07,data/invoices/INV-00040.pdf,6,1,Admin,Immediate,0
4820,Davis PLC,8215.91,2023-02-04,data/invoices/INV-04820.pdf,4,1,Finance,Net 30,0
3466,"Romero, Gonzalez and Brooks",22581.71,2024-06-15,data/invoices/INV-03466.pdf,11,1,HR,Net 90,0
1761,Robinson-Lee,14636.96,2024-01-25,data/invoices/INV-01761.pdf,1,1,Admin,Net 90,0
2305,Ramirez-Bean,21599.08,2023-10-13,data/invoices/INV-02305.pdf,1,1,Operations,Net 90,0
3724,Wagner-King,7164.05,2023-09-08,data/invoices/INV-03724.pdf,13,1,IT,Net 60,0
8285,Cole-Palmer,123104.34,2024-03-12,data/invoices/INV-08285.pdf,3,5,Legal,Net 30,1
4994,Cook-Hines,18992.91,2024-01-28,data/invoices/INV-04994.pdf,14,1,Marketing,Net 90,0
8128,Walker-Flores,62608.77,2024-04-20,data/invoices/INV-08128.pdf,2,2,HR,Net 15,1
3033,"Rodriguez, Figueroa and Sanchez",23928.21,2024-03-13,data/invoices/INV-03033.pdf,10,1,Legal,Net 15,0
7939,"Huang, Cole and Pacheco",135995.84,2024-06-09,data/invoices/INV-07939.pdf,1,6,Marketing,Net 30,1
3040,Lewis-Murphy,11563.4,2023-06-15,data/invoices/INV-03040.pdf,1,1,Finance,Net 60,0
9656,"Miller, Lucas and Williams",108222.65,2023-06-13,data/invoices/INV-09656.pdf,0,2,IT,Net 90,1
2546,Zhang PLC,24900.1,2023-02-15,data/invoices/INV-02546.pdf,13,1,Marketing,Immediate,0
2593,"Ferrell, Rice and Maddox",8280.26,2023-05-21,data/invoices/INV-02593.pdf,10,1,HR,Immediate,0
1189,"Pugh, Henderson and Moon",7684.44,2023-10-07,data/invoices/INV-01189.pdf,12,1,Finance,Immediate,0
7967,Ortiz-Morgan,45021.03,2024-02-14,data/invoices/INV-07967.pdf,0,5,Finance,Net 60,1
6078,Davis Inc,2197.69,2023-08-15,data/invoices/INV-06078.pdf,6,1,Finance,Immediate,0
108,Torres Group,2654.96,2023-12-16,data/invoices/INV-00108.pdf,0,1,Admin,Immediate,0
1316,"Wood, Ramos and Sampson",24035.28,2024-01-04,data/invoices/INV-01316.pdf,15,1,Admin,Net 60,0
8188,Stanley PLC,135638.29,2023-02-12,data/invoices/INV-08188.pdf,3,6,HR,Net 60,1
2754,Morgan-Schwartz,6904.9,2024-03-11,data/invoices/INV-02754.pdf,9,1,IT,Net 30,0
9754,"Kim, Gonzales and Mills",40211.9,2023-06-07,data/invoices/INV-09754.pdf,3,6,HR,Immediate,1
6232,Garner-Thornton,8362.89,2023-05-13,data/invoices/INV-06232.pdf,3,1,IT,Immediate,0
2877,Hayes and Sons,12334.55,2024-05-24,data/invoices/INV-02877.pdf,8,1,Legal,Net 90,0
5324,Coffey-Phillips,17372.55,2023-03-17,data/invoices/INV-05324.pdf,2,1,Operations,Net 60,0
